product_id,product_name,category,subcategory,cost_price
PROD0001,Hoodie 12,Clothing,Women,49979.79
PROD0002,Cloud Computing 53,Books,Education,3780.16
PROD0003,Cookware 10,Home,Decor,25916.26
PROD0004,Shirt 100,Clothing,Footwear,9179.96
PROD0005,Sneakers 65,Clothing,Men,41586.4
PROD0006,Jacket 22,Clothing,Footwear,11350.97
PROD0007,Storage Box 11,Home,Decor,47821.95
PROD0008,Table 81,Home,Decor,4762.08
PROD0009,Hoodie 75,Clothing,Footwear,31261.51
PROD0010,Storage Box 73,Home,Furniture,4153.02
PROD0011,Cookware 27,Home,Kitchen,30943.61
PROD0012,Keyboard 81,Electronics,Accessories,47836.84
PROD0013,Data Engineering 88,Books,Programming,3741.35
PROD0014,Smartphone 57,Electronics,Mobile,10280.75
PROD0015,Jacket 92,Clothing,Women,48771.17
PROD0016,Shirt 48,Clothing,Men,16023.88
PROD0017,Python Programming 35,Books,Technology,4930.9
PROD0018,Bedsheet 79,Home,Furniture,40692.54
PROD0019,Table 98,Home,Decor,23394.07
PROD0020,Bedsheet 3,Home,Kitchen,25321.68
PROD0021,Jeans 75,Clothing,Men,14139.68
PROD0022,Machine Learning 69,Books,Technology,21603.3
PROD0023,Cookware 47,Home,Kitchen,2357.6
PROD0024,Mouse 72,Electronics,Accessories,14501.22
PROD0025,Cloud Computing 58,Books,Programming,41283.03
PROD0026,Smartphone 13,Electronics,Mobile,27935.81
PROD0027,Storage Box 19,Home,Decor,20129.22
PROD0028,Laptop 5,Electronics,Mobile,40217.9
PROD0029,Data Engineering 78,Books,Technology,16465.5
PROD0030,Table 51,Home,Decor,42145.84
PROD0031,Pillow 66,Home,Decor,28189.92
PROD0032,Cyber Security 3,Books,Education,5569.27
PROD0033,Cloud Computing 40,Books,Education,43617.75
PROD0034,Mouse 61,Electronics,Accessories,39166.91
PROD0035,Dress 7,Clothing,Men,26259.19
PROD0036,Data Engineering 88,Books,Education,47415.44
PROD0037,Smartphone 3,Electronics,Mobile,7656.42
PROD0038,Sneakers 65,Clothing,Women,43653.6
PROD0039,Monitor 18,Electronics,Accessories,16319.97
PROD0040,Cloud Computing 49,Books,Technology,23037.21
PROD0041,Pillow 46,Home,Decor,34069.22
PROD0042,Pillow 62,Home,Furniture,14022.42
PROD0043,Table 39,Home,Decor,10443.16
PROD0044,Machine Learning 62,Books,Education,13745.53
PROD0045,Mouse 87,Electronics,Mobile,40937.04
PROD0046,Jacket 6,Clothing,Footwear,4043.57
PROD0047,Web Development 33,Books,Technology,10183.19
PROD0048,Pillow 90,Home,Furniture,30822.28
PROD0049,Jeans 7,Clothing,Footwear,11361.02
PROD0050,T-Shirt 13,Clothing,Footwear,23672.95
PROD0051,T-Shirt 71,Clothing,Men,20404.68
PROD0052,Database Systems 84,Books,Programming,16126.27
PROD0053,Smart Watch 12,Electronics,Computers,26804.1
PROD0054,Smartphone 54,Electronics,Computers,46702.74
PROD0055,Smart Watch 51,Electronics,Computers,46836.78
PROD0056,Chair 2,Home,Decor,5454.3
PROD0057,Lamp 59,Home,Decor,26263.49
PROD0058,Shirt 65,Clothing,Men,40459.81
