item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD00283,PROD0512,4,15166.7,4.64
ITEM000002,ORD00787,PROD0185,5,15623.49,33.76
ITEM000003,ORD00985,PROD0036,7,9057.95,19.91
ITEM000004,ORD01060,PROD0109,2,17379.71,36.63
ITEM000005,ORD00829,PROD0013,3,28776.64,19.2
ITEM000006,ORD00932,PROD0012,7,21180.61,2.73
ITEM000007,ORD00871,PROD0265,2,30221.44,40.12
ITEM000008,ORD00923,PROD0515,8,35629.97,42.21
ITEM000009,ORD00748,PROD0115,7,26632.41,19.17
ITEM000010,ORD00164,PROD0154,-5,12966.04,25.74
ITEM000011,ORD00932,PROD0446,5,2088.24,43.39
ITEM000012,ORD00943,PROD0376,6,12691.11,16.87
ITEM000013,ORD00607,PROD0025,3,14732.66,20.85
ITEM000014,ORD00915,PROD0333,1,29829.37,17.86
ITEM000015,ORD00075,PROD0545,4,8844.16,26.75
ITEM000016,ORD00259,PROD0149,7,44646.56,17.27
ITEM000017,ORD00939,PROD0250,8,2127.98,16.33
ITEM000018,ORD00079,PROD0151,2,19157.46,49.01
ITEM000019,ORD00162,PROD0346,5,21184.24,1.12
ITEM000020,ORD00527,PROD0082,7,48261.49,39.68
ITEM000021,ORD01170,PROD0268,4,34743.43,2.44
ITEM000022,ORD01175,PROD0485,7,13811.86,34.44
ITEM000023,ORD00381,PROD0284,1,30270.67,45.49
ITEM000024,ORD00584,PROD0280,-2,1034.08,20.72
ITEM000025,ORD00266,PROD0282,6,4947.67,11.24
ITEM000026,ORD00665,PROD0227,5,36435.38,30.47
ITEM000027,ORD00944,PROD0431,6,27118.75,23.78
ITEM000028,ORD01143,PROD0013,6,17383.68,22.22
ITEM000029,ORD00947,PROD0511,3,33682.0,12.78
ITEM000030,ORD00067,PROD0586,8,28110.15,17.26
ITEM000031,ORD00426,PROD0543,5,37567.79,22.57
ITEM000032,ORD00958,PROD0031,3,31250.83,28.24
ITEM000033,ORD00851,PROD0024,5,27866.33,24.54
ITEM000034,ORD00481,PROD0385,3,18983.6,47.44
ITEM000035,ORD00253,PROD0100,4,49607.33,28.54
ITEM000036,ORD00366,PROD0163,7,27548.51,17.6
ITEM000037,ORD00446,PROD0429,5,16038.23,18.16
ITEM000038,ORD00217,PROD0326,7,11332.45,20.2
ITEM000039,ORD00951,PROD0294,8,7932.69,43.67
ITEM000040,ORD00820,PROD0296,-3,38170.45,32.81
ITEM000041,ORD00202,PROD0393,7,48714.94,20.51
ITEM000042,ORD00060,PROD0230,2,30018.45,36.61
ITEM000043,ORD00047,PROD0333,3,28508.38,23.6
ITEM000044,ORD00187,PROD0380,-5,44187.27,32.71
ITEM000045,ORD01131,PROD0524,3,22942.67,36.15
ITEM000046,ORD00491,PROD0180,4,16203.94,14.65
ITEM000047,ORD00064,PROD0212,8,12327.84,30.16
ITEM000048,ORD00496,PROD0182,2,40203.98,41.89
ITEM000049,ORD00327,PROD0251,2,443.48,1.62
ITEM000050,ORD00833,PROD0533,7,3611.24,20.85
ITEM000051,ORD00533,PROD0551,1,21982.2,41.39
ITEM000052,ORD00123,PROD0300,1,18232.33,35.83
ITEM000053,ORD01048,PROD0451,2,5270.79,42.35
ITEM000054,ORD01188,PROD0115,6,20703.36,16.99
ITEM000055,ORD00498,PROD0495,2,16568.28,34.69
ITEM000056,ORD00939,PROD0504,5,17187.9,34.46
ITEM000057,ORD00678,PROD0462,5,29761.96,38.07
ITEM000058,ORD00304,PROD0535,4,44020.51,28.18
ITEM000059,ORD00597,PROD0315,3,28425.23,15.24
ITEM000060,ORD00901,PROD0302,3,7411.65,14.62
ITEM000061,ORD00787,PROD0264,1,42560.87,29.16
ITEM000062,ORD00304,PROD0599,-3,36084.85,37.27
ITEM000063,ORD01059,PROD0416,3,48622.93,32.19
ITEM000064,ORD01027,PROD0322,7,43283.89,24.26
ITEM000065,ORD00347,PROD0538,8,44866.97,0.71
ITEM000066,ORD00133,PROD0351,4,11293.07,13.92
ITEM000067,ORD00245,PROD0202,8,28513.46,31.93
ITEM000068,ORD00025,PROD0537,4,18241.66,1.64
ITEM000069,ORD00203,PROD0338,5,27708.9,26.74
ITEM000070,ORD01102,PROD0082,1,22386.98,26.15
ITEM000071,ORD00502,PROD0263,3,34515.98,32.54
ITEM000072,ORD00502,PROD0234,8,8953.79,48.97
ITEM000073,ORD00545,PROD0566,4,36693.53,45.87
ITEM000074,ORD00272,PROD0536,4,11456.55,29.28
ITEM000075,ORD01191,PROD0489,1,16011.03,31.7
ITEM000076,ORD00403,PROD0490,2,23854.19,4.99
ITEM000077,ORD00441,PROD0499,1,29127.51,43.06
ITEM000078,ORD00229,PROD0454,4,29487.98,31.75
ITEM000079,ORD00935,PROD0001,7,30107.57,24.63
ITEM000080,ORD00362,PROD0337,5,47576.64,14.98
ITEM000081,ORD01090,PROD0255,5,31333.49,5.57
ITEM000082,ORD00374,PROD0500,-5,23578.27,8.16
ITEM000083,ORD00135,PROD0443,2,46272.24,22.16
ITEM000084,ORD01104,PROD0188,2,38166.35,10.66
ITEM000085,ORD01028,PROD0313,8,5235.56,15.0
ITEM000086,ORD00431,PROD0585,6,7903.75,38.32
