order_id,customer_id,order_date,status,region_code
ORD00001,CUST0565,2024-08-27 10:26:21,DELIVERED,EAST
ORD00002,CUST0536,13-04-2024 14:00:17,RETURNED,SOUTH
ORD00003,CUST0207,2024-06-15 07:18:21,PLACED,CENTRAL
ORD00004,CUST0398,2026-01-31 01:09:18,DELIVERED,EAST
ORD00005,,2024-12-08 21:08:30,PLACED,SOUTH
ORD00006,CUST0082,2025-12-28 02:30:34,PLACED,CENTRAL
ORD00007,CUST0426,2025-07-27 07:52:35,PLACED,CENTRAL
ORD00008,CUST0042,2024-04-19 08:15:34,PLACED,SOUTH
ORD00009,CUST0100,2024-06-06 05:56:45,DELIVERED,SOUTH
ORD00010,CUST0255,2026-06-04 12:10:18,SHIPPED,CENTRAL
ORD00011,CUST0109,2026-06-14 15:51:04,DELIVERED,WEST
ORD00012,CUST0171,2024-10-07 05:40:13,DELIVERED,SOUTH
ORD00013,CUST0454,2025-07-01 07:35:36,DELIVERED,EAST
ORD00014,CUST0423,2025-10-30 21:29:12,DELIVERED,SOUTH
ORD00015,CUST0220,2025-08-05 15:21:53,RETURNED,EAST
ORD00016,CUST0464,2025-11-26 04:00:04,PLACED,NORTH
ORD00017,CUST0017,2026-03-15 01:52:32,CANCELLED,NORTH
ORD00018,CUST0228,2024-11-29 17:10:29,PLACED,EAST
ORD00019,CUST0524,2026-05-14 05:13:40,DELIVERED,NORTH
ORD00020,,2025-07-06 11:48:27,SHIPPED,CENTRAL
ORD00021,CUST0263,2025-04-11 12:05:10,DELIVERED,SOUTH
ORD00022,CUST0333,2026-01-19 14:08:26,CANCELLED,CENTRAL
ORD00023,CUST0098,2026-07-13 15:49:39,PLACED,CENTRAL
ORD00024,CUST0058,2025-06-03 10:56:58,CANCELLED,WEST
ORD00025,CUST0124,2024-12-18 04:38:50,CANCELLED,NORTH
ORD00026,CUST0392,2024-03-25 02:02:10,PLACED,CENTRAL
ORD00027,CUST0335,2026-02-19 10:53:22,SHIPPED,WEST
ORD00028,CUST0590,2026-02-23 01:40:26,DELIVERED,WEST
ORD00029,CUST0345,2024-05-08 05:30:17,DELIVERED,CENTRAL
ORD00030,CUST0088,2025-09-11 02:09:53,DELIVERED,SOUTH
ORD00031,CUST0493,2026-05-18 20:04:22,DELIVERED,CENTRAL
ORD00032,CUST0537,2025-01-17 12:42:37,SHIPPED,WEST
ORD00033,CUST0590,2024-05-19 04:19:50,DELIVERED,EAST
ORD00034,CUST0329,2025-06-19 04:49:10,PLACED,EAST
ORD00035,CUST0359,2025-11-17 22:47:15,DELIVERED,SOUTH
ORD00036,CUST0383,2024-08-30 07:46:26,CANCELLED,NORTH
ORD00037,CUST0249,2024-08-17 09:48:01,CANCELLED,NORTH
ORD00038,CUST0114,2025-04-18 23:37:31,PLACED,SOUTH
ORD00039,CUST0217,2024-11-12 14:15:54,DELIVERED,CENTRAL
ORD00040,CUST0145,2024-01-29 13:34:24,RETURNED,CENTRAL
ORD00041,,2024-09-21 13:58:36,SHIPPED,CENTRAL
ORD00042,CUST0477,2024-01-13 22:43:14,DELIVERED,EAST
ORD00043,CUST0020,2025-03-30 09:01:31,DELIVERED,SOUTH
ORD00044,CUST0521,2024-06-03 17:29:43,DELIVERED,CENTRAL
ORD00045,CUST0191,2024-11-04 22:36:17,DELIVERED,NORTH
ORD00046,,2026-04-02 10:02:07,DELIVERED,SOUTH
ORD00047,,2025-06-30 16:16:14,DELIVERED,CENTRAL
ORD00048,CUST0064,2025-02-04 06:58:58,CANCELLED,NORTH
ORD00049,CUST0287,2024-12-16 10:19:57,CANCELLED,SOUTH
ORD00050,CUST0392,2026-03-19 21:46:05,DELIVERED,SOUTH
ORD00051,CUST0587,2024-08-25 06:54:04,DELIVERED,CENTRAL
ORD00052,CUST0556,2024-07-23 16:49:16,PLACED,CENTRAL
ORD00053,CUST0208,2024-08-02 13:06:02,DELIVERED,CENTRAL
ORD00054,CUST0441,2024-08-13 11:40:24,DELIVERED,SOUTH
ORD00055,CUST0571,2026-04-07 22:14:47,PLACED,EAST
ORD00056,CUST0150,2024-02-15 19:13:07,CANCELLED,WEST
ORD00057,CUST0311,2025-11-19 04:24:15,CANCELLED,EAST
ORD00058,CUST0193,2024-06-14 20:43:39,PLACED,CENTRAL
ORD00059,CUST0581,2024-12-24 16:59:56,SHIPPED,NORTH
ORD00060,CUST0489,2024-07-27 07:06:42,DELIVERED,EAST
ORD00061,CUST0397,2026-02-02 10:25:11,SHIPPED,SOUTH
ORD00062,,2024-01-24 07:46:19,RETURNED,SOUTH
ORD00063,CUST0208,2024-11-13 18:37:41,RETURNED,WEST
ORD00064,CUST0502,2025-05-19 16:59:12,CANCELLED,WEST
ORD00065,CUST0043,2025-08-13 21:22:36,DELIVERED,CENTRAL
ORD00066,CUST0538,2024-02-29 19:49:49,DELIVERED,NORTH
ORD00067,CUST0252,2026-03-16 18:38:11,RETURNED,NORTH
ORD00068,CUST0529,2024-03-17 13:52:03,DELIVERED,EAST
ORD00069,CUST0293,2025-12-17 16:16:08,SHIPPED,NORTH
ORD00070,CUST0146,2025-12-21 03:28:33,DELIVERED,CENTRAL
ORD00071,CUST0600,2026-04-28 19:32:00,DELIVERED,WEST
ORD00072,,2025-12-05 18:26:37,DELIVERED,SOUTH
ORD00073,CUST0093,2025-01-23 11:44:37,DELIVERED,SOUTH
ORD00074,CUST0127,2024-05-21 15:51:21,DELIVERED,EAST
ORD00075,CUST0394,2026-03-05 20:18:28,SHIPPED,CENTRAL
ORD00076,CUST0175,2025-06-04 16:54:21,DELIVERED,SOUTH
ORD00077,CUST0149,2024-10-04 20:38:10,PLACED,EAST
ORD00078,CUST0457,2025-03-24 14:31:07,PLACED,SOUTH
ORD00079,CUST0004,28-01-2025 04:39:40,DELIVERED,WEST
ORD00080,CUST0006,2026-02-05 13:46:32,DELIVERED,WEST
ORD00081,CUST0453,2024-05-03 08:25:47,PLACED,CENTRAL
ORD00082,CUST0571,18-11-2024 13:17:27,PLACED,EAST
ORD00083,,2024-02-20 09:09:21,CANCELLED,EAST
ORD00084,CUST0090,2024-03-17 04:01:18,RETURNED,SOUTH
ORD00085,CUST0587,2026-05-23 07:29:06,DELIVERED,CENTRAL
ORD00086,CUST0037,2024-05-24 15:59:58,DELIVERED,WEST
ORD00087,CUST0438,2026-05-05 03:02:58,DELIVERED,NORTH
ORD00088,CUST0282,2025-05-26 09:47:00,DELIVERED,SOUTH
ORD00089,CUST0112,2026-06-06 14:06:30,DELIVERED,NORTH
ORD00090,CUST0295,2025-10-25 09:42:44,DELIVERED,CENTRAL
ORD00091,CUST0363,2024-07-20 12:03:22,DELIVERED,WEST
ORD00092,CUST0185,2024-12-27 12:29:29,RETURNED,NORTH
ORD00093,CUST0477,2024-07-02 04:35:22,SHIPPED,CENTRAL
ORD00094,CUST0424,2024-03-11 16:04:18,DELIVERED,SOUTH
ORD00095,,2024-11-08 12:48:00,SHIPPED,NORTH
ORD00096,CUST0519,2026-05-04 09:14:51,PLACED,EAST
ORD00097,CUST0583,2024-02-15 05:34:28,SHIPPED,EAST
ORD00098,CUST0491,2026-01-07 02:39:32,DELIVERED,WEST
ORD00099,CUST0472,2026-04-14 03:36:03,DELIVERED,WEST
ORD00100,CUST0058,2026-03-20 11:01:04,DELIVERED,EAST
ORD00101,CUST0020,2024-11-19 12:35:15,DELIVERED,EAST
ORD00102,CUST0153,2025-03-11 16:18:27,DELIVERED,WEST
ORD00103,CUST0170,2026-06-05 23:44:18,SHIPPED,NORTH
ORD00104,CUST0316,2025-05-03 13:23:14,SHIPPED,NORTH
ORD00105,CUST0244,2025-07-31 05:38:23,RETURNED,SOUTH
ORD00106,CUST0180,2024-06-23 08:17:06,PLACED,SOUTH
ORD00107,CUST0455,25-02-2026 00:50:58,DELIVERED,CENTRAL
ORD00108,CUST0349,2026-01-21 01:08:25,DELIVERED,EAST
ORD00109,CUST0101,2026-03-12 19:20:26,PLACED,NORTH
ORD00110,CUST0535,28-06-2024 22:40:43,RETURNED,CENTRAL
ORD00111,CUST0342,2025-12-26 06:23:42,PLACED,EAST
ORD00112,,2025-04-29 21:31:50,SHIPPED,SOUTH
ORD00113,CUST0284,2026-04-06 20:40:49,DELIVERED,NORTH
ORD00114,CUST0162,2025-03-01 01:55:21,RETURNED,CENTRAL
ORD00115,CUST0212,2026-04-22 18:56:11,DELIVERED,SOUTH
ORD00116,CUST0291,2026-06-10 19:21:48,PLACED,CENTRAL
ORD00117,CUST0554,2025-11-20 04:22:58,PLACED,NORTH
ORD00118,CUST0056,2024-05-13 18:46:14,SHIPPED,CENTRAL
ORD00119,CUST0457,2025-07-06 10:38:07,CANCELLED,CENTRAL
ORD00120,CUST0477,2026-06-01 00:43:10,CANCELLED,WEST
ORD00121,CUST0318,2025-12-23 23:14:29,RETURNED,SOUTH
ORD00122,CUST0265,2025-07-18 14:22:25,DELIVERED,EAST
ORD00123,CUST0333,2025-12-05 03:37:03,PLACED,NORTH
ORD00124,CUST0473,2024-09-22 07:56:35,DELIVERED,CENTRAL
ORD00125,CUST0106,2025-09-22 05:04:10,DELIVERED,EAST
ORD00126,CUST0073,2025-04-14 07:46:48,DELIVERED,WEST
ORD00127,CUST0250,2026-05-01 05:01:12,DELIVERED,NORTH
ORD00128,CUST0442,2025-11-07 07:09:45,DELIVERED,SOUTH
ORD00129,CUST0080,2026-06-10 23:17:27,PLACED,CENTRAL
ORD00130,CUST0569,2024-05-31 16:48:05,SHIPPED,WEST
ORD00131,CUST0112,2026-07-15 11:36:19,DELIVERED,WEST
ORD00132,CUST0063,2024-05-20 15:18:54,PLACED,CENTRAL
ORD00133,CUST0001,2024-08-15 22:19:03,DELIVERED,EAST
ORD00134,CUST0592,2025-11-25 15:19:28,DELIVERED,EAST
ORD00135,CUST0312,2025-11-06 07:47:54,RETURNED,NORTH
ORD00136,CUST0523,2025-09-19 21:34:18,CANCELLED,NORTH
ORD00137,CUST0563,23-03-2024 12:43:47,DELIVERED,EAST
ORD00138,CUST0289,2024-02-18 10:39:05,DELIVERED,WEST
ORD00139,CUST0392,2025-09-22 17:59:40,DELIVERED,SOUTH
ORD00140,CUST0193,2026-05-12 19:37:02,RETURNED,WEST
ORD00141,CUST0129,27-07-2024 14:13:34,DELIVERED,SOUTH
ORD00142,CUST0499,2025-11-09 10:39:54,PLACED,SOUTH
ORD00143,CUST0426,2025-12-09 09:58:49,DELIVERED,WEST
ORD00144,CUST0466,2026-03-02 08:21:52,CANCELLED,WEST
ORD00145,CUST0191,2025-10-21 20:38:33,DELIVERED,SOUTH
ORD00146,CUST0276,2025-09-30 05:08:37,DELIVERED,NORTH
ORD00147,CUST0582,2026-01-20 17:32:30,PLACED,WEST
ORD00148,CUST0082,2024-08-08 17:24:18,DELIVERED,EAST
ORD00149,CUST0081,2026-03-24 00:09:19,PLACED,WEST
ORD00150,CUST0080,2026-04-17 14:43:44,DELIVERED,NORTH
ORD00151,CUST0548,2024-01-17 18:02:03,DELIVERED,WEST
ORD00152,CUST0340,2025-10-16 00:37:05,RETURNED,EAST
ORD00153,CUST0037,2026-07-17 09:30:15,DELIVERED,CENTRAL
ORD00154,CUST0485,2026-06-17 02:39:43,PLACED,EAST
ORD00155,CUST0028,2025-03-21 13:15:45,PLACED,NORTH
ORD00156,CUST0285,2025-01-26 13:08:29,SHIPPED,EAST
ORD00157,,2024-06-22 06:51:47,RETURNED,SOUTH
ORD00158,CUST0379,2024-09-29 11:21:44,DELIVERED,WEST
ORD00159,CUST0541,2024-02-21 09:42:15,PLACED,SOUTH
ORD00160,CUST0158,2026-02-09 10:17:30,DELIVERED,WEST
ORD00161,CUST0451,2024-09-16 20:46:19,DELIVERED,EAST
ORD00162,CUST0271,2024-06-29 04:35:00,DELIVERED,WEST
ORD00163,CUST0546,2024-12-28 23:31:30,DELIVERED,WEST
ORD00164,CUST0544,06-11-2025 08:04:14,RETURNED,WEST
ORD00165,CUST0324,2026-04-03 17:16:49,PLACED,CENTRAL
ORD00166,CUST0443,2025-02-27 10:54:50,SHIPPED,NORTH
ORD00167,CUST0599,2025-08-30 15:16:09,DELIVERED,SOUTH
ORD00168,CUST0200,2026-03-18 17:13:39,DELIVERED,SOUTH
ORD00169,CUST0011,2024-01-14 04:00:51,PLACED,NORTH
ORD00170,CUST0457,2025-06-30 01:28:55,SHIPPED,SOUTH
ORD00171,,2024-05-22 19:49:10,DELIVERED,SOUTH
ORD00172,CUST0125,2024-07-05 09:04:15,DELIVERED,WEST
ORD00173,CUST0580,2024-10-14 00:40:23,DELIVERED,EAST
ORD00174,CUST0078,2025-12-05 09:36:31,SHIPPED,WEST
ORD00175,CUST0332,2025-02-03 18:12:13,PLACED,NORTH
ORD00176,CUST0341,2024-04-03 07:08:55,CANCELLED,SOUTH
ORD00177,CUST0504,2024-11-07 17:29:12,SHIPPED,WEST
ORD00178,CUST0554,2025-10-31 22:17:55,DELIVERED,WEST
ORD00179,CUST0106,2024-02-24 03:42:30,DELIVERED,EAST
ORD00180,CUST0020,2026-02-12 03:39:08,DELIVERED,NORTH
ORD00181,CUST0273,2024-08-23 12:20:10,RETURNED,CENTRAL
ORD00182,,2026-02-01 05:51:21,DELIVERED,NORTH
ORD00183,CUST0004,2025-08-20 04:21:38,CANCELLED,WEST
