E-COMMERCE ANALYTICS REPORT
SQL FILE: cohort_analysis.sql
================================================================================

REPORT 1
--------------------------------------------------------------------------------
cohort_month | month_0 | month_1 | month_2 | month_3 | retention_month_0_percent | retention_month_1_percent | retention_month_2_percent | retention_month_3_percent
--------------------------------------------------------------------------------
2023-01-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-02-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-03-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-04-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-05-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-06-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-07-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-08-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-09-01 | 0 | 0 | 0 | 0 | None | None | None | None
2023-10-01 | 0 | 0 | 0 | 1 | None | None | None | None
2023-11-01 | 0 | 0 | 0 | 2 | None | None | None | None
2023-12-01 | 0 | 1 | 1 | 1 | None | None | None | None
2024-01-01 | 0 | 0 | 0 | 0 | None | None | None | None
2024-02-01 | 2 | 1 | 2 | 1 | 100.0 | 50.0 | 100.0 | 50.0
2024-03-01 | 0 | 0 | 1 | 0 | None | None | None | None
2024-04-01 | 0 | 0 | 2 | 0 | None | None | None | None
2024-05-01 | 5 | 0 | 3 | 0 | 100.0 | 0.0 | 60.0 | 0.0
2024-06-01 | 0 | 0 | 0 | 0 | None | None | None | None
2024-07-01 | 1 | 1 | 0 | 0 | 100.0 | 100.0 | 0.0 | 0.0
2024-08-01 | 3 | 0 | 0 | 2 | 100.0 | 0.0 | 0.0 | 66.67
2024-09-01 | 0 | 0 | 0 | 0 | None | None | None | None
2024-10-01 | 2 | 2 | 1 | 2 | 100.0 | 100.0 | 50.0 | 100.0
2024-11-01 | 0 | 0 | 0 | 1 | None | None | None | None
2024-12-01 | 1 | 1 | 1 | 0 | 100.0 | 100.0 | 100.0 | 0.0
2025-01-01 | 1 | 2 | 0 | 0 | 100.0 | 200.0 | 0.0 | 0.0
2025-02-01 | 0 | 1 | 0 | 0 | None | None | None | None
2025-03-01 | 0 | 0 | 0 | 0 | None | None | None | None
2025-04-01 | 1 | 2 | 1 | 3 | 100.0 | 200.0 | 100.0 | 300.0
2025-05-01 | 2 | 1 | 0 | 1 | 100.0 | 50.0 | 0.0 | 50.0
2025-06-01 | 1 | 1 | 0 | 1 | 100.0 | 100.0 | 0.0 | 100.0
2025-07-01 | 1 | 2 | 0 | 1 | 100.0 | 200.0 | 0.0 | 100.0
2025-08-01 | 1 | 0 | 2 | 2 | 100.0 | 0.0 | 200.0 | 200.0
2025-09-01 | 1 | 2 | 1 | 3 | 100.0 | 200.0 | 100.0 | 300.0
2025-10-01 | 2 | 1 | 1 | 0 | 100.0 | 50.0 | 50.0 | 0.0
2025-11-01 | 0 | 0 | 0 | 0 | None | None | None | None
2025-12-01 | 1 | 1 | 0 | 0 | 100.0 | 100.0 | 0.0 | 0.0
2026-01-01 | 0 | 2 | 1 | 0 | None | None | None | None
2026-02-01 | 1 | 0 | 0 | 1 | 100.0 | 0.0 | 0.0 | 100.0
2026-03-01 | 1 | 1 | 2 | 2 | 100.0 | 100.0 | 200.0 | 200.0
2026-04-01 | 0 | 0 | 0 | 1 | None | None | None | None
2026-05-01 | 0 | 1 | 2 | 0 | None | None | None | None
2026-06-01 | 1 | 0 | 0 | 0 | 100.0 | 0.0 | 0.0 | 0.0

Rows returned: 42

